Headword,Entry No.,No.,Syllabary,Practical,Tone and length 1,Tone and length 2,Part of speech,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 2A,Translation  2B,Translation  3A,Translation 3B,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Compare 1 ,Compare 2,Compare 3,Compare 4,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Spelling variant
ᎠᏓᏲᏁᎰᎢ,26.4,26,ᎠᏓᏲᏁᎰᎢ,adahyoneho'i,àdahyónẹhó'i,à:da:hyó:nehó:'i,verb (vi) ,3rd person singular present habitual ,s/he commits adultery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏲᏅᎳ,26.5,26,ᎭᏓᏲᏅᎳ,hadahyonvla,hạdahyonv̌la,hada:hyo:nv̌:la,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,commit adultery!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏲᏁᏗ,26.6,26,ᎤᏓᏲᏁᏗ,udahyonehdi,udahyonẹ́hdi,u:da:hyo:néhdi,verb (vi) ,3rd person singular infinitive ,to commit adultery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏲᏁᏗ,27.1,27,ᎠᏓᏲᏁᏗ,adahyonehdi ,ạdahyonẹ́hdi,ada:hyo:néhdi,noun,,adultery,,,,,,,,adultery,,,,ạdahyonẹ́hdi,ạdahyone̋hi,,,entry_0027.1_sentence_1.wav,ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ ᎠᏓᏲᏁᏗ,galv̋:kwdi go:hwe:li à:sgâ:ga ada:hyő:nehdi,The Bible reproves adultery,,,,,,,,,
ᎠᏓᏲᏁᎯ,28.1,28,ᎠᏓᏲᏁᎯ,adahyoneni ,ạdahyone̋hi,ada:hyo:ne̋:hi,noun,,adulterer,,,,,,,,adulterer,,,,ạdahyonẹ́hdi,ạdahyone̋hi,,,entry_0028.1_sentence_1.wav,ᏣᏂ ᎣᏍᏗ ᎧᏃᎮᏓ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ ᎠᏓᏲᏁᎯ ᎠᎨᏯ,jǎ:ni ő:sdi kano:hě:da chane:li:ne̋: à:yâ:tohlv̋: à:jì:nê:sdí ada:hyo:ne̋:hi agě:hya,An adulteress is mentioned in chapter eight of the book of John,,,,,,,,,
ᏗᎾᏓᏲᏁᎯ,28.2,28,ᏗᎾᏓᏲᏁᎯ,dinadahyonehi,dinạdahyone̋hi,di:nada:hyo:ne̋:hi,noun,plural,adulterers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏣᎦᎵᎭ,29.1,29,ᎠᏓᏣᎦᎵᎭ,adajagaliha,àdajạgạlị́ha,à:da:jagalíha,verb (vi) ,3rd person singular,it's ripping,,,,,,,,rip,,,,gajạgạlị́ha,,,,entry_0029.1_sentence_1.wav,ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ ᎤᏓᏣᎦᎵᏗ,uwe̋:ti ahnawó ahi̋:da gè:só u:da:jagalhdi,An old cloth is easy to rip,,,,,,,,,
ᎦᏓᏣᎦᎵᎠ,29.2,29,ᎦᏓᏣᎦᎵᎠ,gadajagali'a,gạdajạgạlí'a,gada:jagalí:'a,verb (vi) ,1st person singular ,I'm ripping ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏣᎦᎸᎲᎢ,29.3,29,ᎤᏓᏣᎦᎸᎲᎢ,udajagalvhv'i,ùdajạgạlvhv̌'i,ù:da:jagalv:hv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,it ripped ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏣᎦᎵᏍᎪᎢ,29.4,29,ᎠᏓᏣᎦᎵᏍᎪᎢ,adajagalisgo'i,àdajạgạlǐsgọ́'i,à:da:jagalǐ:sgó'i,verb (vi) ,3rd person singular present habitual ,it rips,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏣᎦᎳ,29.5,29,ᎭᏓᏣᎦᎳ,hadajagala,hạdajạgạla,hada:jagala,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,rip!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏣᎦᎵᏗ,29.6,29,ᎤᏓᏣᎦᎵᏗ,udajagahldi,udajạgạhldi,u:da:jagahldi,verb (vi) ,3rd person singular infinitive ,to rip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏨᎢᏍᎩ,30.1,30,ᎠᏓᏨᎢᏍᎩ,adajvysgi,ạdajv̋ysgi,ada:jv̋:ysgi,noun,,something that stings,,,,,,,,something that stings,,,,gajṿ́ysga,,,,entry_0030.1_sentence_1.wav,ᎪᎱᏍᏗ ᎤᏍᏗ ᏥᎪᏯ ᎠᏓᏨᎢᏍᎩ ᎤᏩᏨᏴ ᎤᏬᏰᏂ,go:hű:sdi ű:sdi tsgǒ:ya ada:jv̋:ysgi ù:wa:jv́:hya uwò:ye̋:ni,Some kind of a stinging bug stung him on his hand,,,,,,,,,
ᎠᎾᏓᏨᎢᏍᎩ,30.2,30,ᎠᎾᏓᏨᎢᏍᎩ,anadajvysgi,ạnạdajv̋ysgi,anada:jv̋:ysgi,noun,plural,things that sting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᎨᎭ,31.1,31,ᎠᏓᎨᎭ,adakeha,àdakẹ́ha,à:da:kéha,verb (vi) ,3rd person singular,s/he's looking at him/herself in a mirror,,,,,,,,look in mirror,,,,ạdakẹ́hdi,,,,entry_0031.1_sentence_1.wav,Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ ᎠᏓᎨᏍᎪᎢ,hlv̋: uwe:nv̀:sdi̋ yadv́:nv'isdi̋: à:da:kě:sgó:'i,"When he’s getting ready to go somewhere, he uses a mirror",,,,,,,,,
ᎦᏓᎨᎭ,31.2,31,ᎦᏓᎨᎭ,gadakeha,gạdàkẹ́ha,gadà:kéha,verb (vi) ,1st person singular ,I'm looking at myself in a mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᎨᎲᎢ,31.3,31,ᎤᏓᎨᎲᎢ,udakehv'i,ùdakěhv́'i,ù:da:kě:hv́:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he looked at him/herself in a mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᎨᏍᎪᎢ,31.4,31,ᎠᏓᎨᏍᎪᎢ,adakesgo'i,àdakěsgọ́'i,à:da:kě:sgó'i,verb (vi) ,3rd person singular present habitual ,s/he  looks at him/herself in a mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
